Time,CPU Usage (%),Memory Usage (%)
190,11.3,51.7
191,9.8,51.7
192,12.2,51.8
193,14.9,51.9
194,9.0,51.8
195,8.8,51.8
196,9.8,51.8
197,8.3,51.8
198,9.1,51.9
199,8.0,51.9
200,9.4,51.8
201,8.9,51.8
202,8.6,51.9
203,8.8,51.9
204,8.5,51.9
205,9.3,51.9
206,9.6,51.8
207,9.1,51.8
208,10.5,51.8
209,15.5,52.0
210,14.2,51.9
211,9.3,52.0
212,8.8,51.9
213,12.2,51.9
214,10.3,51.9
215,10.7,51.9
216,11.0,52.0
217,9.3,51.9
218,9.8,51.8
219,9.6,51.8
220,14.2,51.9
221,12.2,51.9
222,12.1,51.9
223,11.1,52.0
224,9.8,52.0
225,14.4,52.2
226,9.2,52.2
227,8.7,52.0
228,10.0,51.9
229,18.2,52.2
230,9.9,52.0
231,13.3,52.1
232,13.0,52.1
233,10.7,51.9
234,8.8,51.9
235,13.5,52.0
236,9.7,51.8
237,9.9,51.8
238,9.7,51.8
239,17.6,52.2
240,11.5,52.1
241,15.6,52.1
242,23.4,52.0
243,19.5,52.1
244,18.3,52.1
245,9.7,51.9
246,15.7,52.1
247,18.8,52.2
248,14.0,52.0
249,14.9,52.3
250,19.8,52.3
251,21.3,52.3
252,9.1,52.2
253,9.3,51.9
254,9.5,52.1
255,9.1,52.1
256,10.2,51.9
257,9.3,51.8
258,9.1,51.8
259,9.0,51.7
260,9.5,51.8
261,12.4,52.0
262,9.6,52.1
263,15.2,52.2
264,10.8,52.1
265,11.7,52.1
266,11.8,52.1
267,21.9,52.1
268,8.8,52.1
269,9.7,52.1
270,8.6,52.0
271,10.0,52.0
272,10.3,52.1
273,9.8,52.0
274,9.0,52.1
275,20.5,52.1
276,14.4,52.1
277,13.0,52.3
278,10.3,52.1
279,12.1,52.6
280,8.8,52.6
281,25.3,52.7
282,17.5,52.4
283,15.5,52.4
284,19.9,52.4
285,9.6,52.3
286,9.2,52.3
287,14.2,52.5
288,10.3,52.5
289,13.7,52.5
290,16.6,52.7
291,9.8,52.6
292,10.0,52.4
293,7.8,52.4
294,9.3,52.3
295,6.7,52.3
296,8.5,52.3
297,8.9,52.3
298,8.4,52.3
299,9.6,52.3
300,9.1,52.3
301,8.7,52.3
302,10.0,52.3
303,10.2,52.2
304,7.8,52.3
305,9.1,52.2
306,9.3,52.2
307,10.0,52.2
308,7.8,52.1
309,8.2,52.1
310,10.5,52.1
311,9.6,52.1
312,9.8,52.1
313,8.2,52.1
314,9.1,52.1
315,8.5,52.1
316,8.1,52.1
317,9.6,52.1
318,8.1,52.1
319,8.4,52.1
320,9.8,52.1
321,8.0,52.1
322,9.6,52.1
323,9.1,52.1
324,10.1,52.2
325,9.4,52.2
326,7.9,52.2
327,9.8,52.2
328,8.8,52.2
329,8.3,52.2
330,10.3,52.1
331,9.4,52.1
332,9.3,52.2
333,9.5,52.2
334,9.8,52.3
335,10.4,52.3
336,13.8,52.7
337,18.0,52.7
338,30.8,52.5
339,48.9,52.4
340,10.8,52.5
341,15.0,52.6
342,10.6,52.5
343,8.7,52.5
344,8.3,52.4
345,9.6,52.4
346,11.2,52.4
347,10.8,52.4
348,12.5,52.4
349,13.0,52.4
350,7.9,52.4
351,10.3,52.4
352,9.2,52.5
353,19.3,52.7
354,12.1,52.6
355,15.5,52.6
356,9.7,52.5
357,11.5,52.5
358,10.1,52.5
359,14.9,52.4
360,6.7,52.4
361,9.9,52.4
362,19.6,52.5
363,10.0,52.3
364,11.9,52.2
365,19.0,52.4
366,10.7,52.4
367,8.6,52.3
368,14.4,52.5
369,41.3,52.7
370,44.1,52.5
371,29.5,52.4
372,83.5,52.4
373,75.5,52.4
374,77.9,52.2
375,24.4,52.2
376,51.6,52.2
377,8.6,52.2
378,10.2,52.2
379,8.2,52.2
380,8.5,52.1
381,9.5,52.1
382,9.9,52.1
383,29.4,52.2
384,36.8,52.2
385,26.7,52.2
386,7.3,52.2
387,8.0,52.2
388,7.9,52.2
389,9.1,52.2
390,8.7,52.2
391,9.1,52.3
392,9.0,52.2
393,7.3,52.2
394,9.4,52.3
395,7.4,52.3
396,8.0,52.3
397,7.1,52.3
398,7.3,52.2
399,24.7,52.7
400,39.3,52.8
401,27.1,52.9
402,18.4,52.9
403,20.5,52.8
404,9.9,52.7
405,8.9,52.6
406,7.4,52.4
407,8.9,52.3
408,12.5,52.4
409,12.4,52.4
410,19.7,52.4
411,15.1,52.4
412,9.3,52.2
413,8.4,52.1
414,11.1,52.2
415,7.2,52.2
416,6.6,52.2
417,6.5,52.2
418,11.6,52.2
419,9.6,52.1
420,7.8,52.2
421,10.7,52.2
422,8.9,52.1
423,25.9,52.5
424,21.5,52.6
425,11.2,52.4
426,10.0,52.3
427,8.2,52.4
428,10.1,52.3
429,20.8,52.2
430,16.0,52.3
431,10.8,52.2
432,31.6,52.4
433,14.9,52.4
434,10.5,52.3
435,9.2,52.3
436,8.6,52.3
437,8.5,52.1
438,7.3,52.1
439,8.9,52.1
440,8.3,52.1
441,11.6,52.0
442,8.8,52.1
443,10.3,52.1
444,7.0,52.0
445,9.7,52.1
446,10.6,52.1
447,11.1,52.2
448,11.7,52.1
449,10.0,52.1
450,28.3,52.4
451,12.3,52.4
452,11.7,52.4
453,10.3,52.3
454,9.3,52.3
455,13.5,52.3
456,55.0,52.3
457,8.2,52.2
458,8.9,52.5
459,8.6,52.5
460,8.8,52.4
461,6.6,52.4
462,8.6,52.5
463,15.1,52.2
464,7.2,52.2
465,9.1,52.2
466,8.3,52.2
467,8.9,52.1
468,8.8,52.1
469,8.3,52.1
470,8.4,52.2
471,10.6,52.4
472,8.1,52.4
473,7.7,52.3
474,7.6,52.4
475,9.7,52.2
476,20.5,52.2
477,8.1,52.2
478,6.9,52.1
479,8.0,52.0
480,8.4,52.1
481,7.8,52.1
482,9.4,52.0
483,12.6,52.1
484,13.7,52.1
485,9.9,51.9
486,12.1,52.1
487,9.7,52.1
488,9.1,51.9
489,8.7,51.9
490,7.9,51.9
491,10.3,51.8
492,8.9,51.8
493,12.5,52.0
494,12.1,52.0
495,18.3,52.1
496,12.2,52.3
497,12.2,52.2
498,15.9,52.3
499,12.8,52.2
500,9.2,52.1
501,8.6,52.1
502,10.7,51.9
503,15.2,52.2
504,9.6,52.1
505,9.5,52.0
506,15.3,52.0
507,12.2,52.0
508,9.2,52.0
509,9.7,52.4
510,12.3,52.4
511,20.4,52.5
512,11.1,52.4
513,36.0,52.1
514,8.6,52.2
515,12.8,52.1
516,31.3,52.0
517,26.5,37.8
518,19.4,38.1
519,19.6,38.0
520,9.6,37.8
521,9.3,37.5
522,8.7,37.7
523,11.8,37.8
524,14.4,37.9
525,14.9,37.8
526,17.6,38.0
527,8.8,37.9
528,9.5,37.9
529,10.0,37.9
530,8.4,37.9
531,8.1,37.9
532,8.8,37.9
533,9.0,37.8
534,9.3,38.0
535,11.2,38.0
536,8.9,38.0
537,8.4,37.9
538,11.7,38.0
539,10.8,37.8
540,9.8,38.0
541,9.4,37.9
542,7.7,37.9
543,7.6,37.9
544,13.4,37.8
545,9.1,37.7
546,9.5,37.9
547,9.1,37.8
548,8.2,37.8
549,8.7,37.8
550,8.3,37.8
551,7.8,37.6
552,19.0,37.8
553,8.7,37.8
554,6.8,37.8
555,8.4,37.8
556,9.5,37.8
557,8.4,37.6
558,7.8,37.7
559,8.4,37.7
560,8.2,37.7
561,9.8,37.8
562,14.1,37.8
563,8.2,37.7
564,27.0,37.8
565,33.5,37.8
566,45.8,37.8
567,15.3,37.8
568,9.7,37.9
569,11.4,37.9
570,9.3,37.9
571,7.7,37.9
572,53.1,37.9
573,58.1,37.9
574,27.2,37.8
575,29.4,37.8
576,18.7,37.7
577,10.0,37.7
578,9.7,37.7
579,8.9,37.7
580,8.5,37.7
581,8.1,37.7
582,18.0,38.0
583,28.2,38.2
584,11.3,38.0
585,8.7,38.1
586,9.7,38.0
587,9.5,37.9
588,16.6,37.9
589,26.8,38.1
590,17.1,38.1
591,10.0,38.1
592,11.2,38.0
593,8.5,38.0
594,9.6,37.9
595,15.1,38.1
596,15.4,38.1
597,11.8,38.0
598,10.8,38.0
599,7.7,38.0
600,7.1,38.0
